Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-12-20,382.9,388.0,375.0,377.1,377.7,745618.0,2849.15
2017-12-19,369.0,386.5,368.0,376.55,377.3,1094624.0,4152.83
2017-12-18,364.0,374.25,342.45,369.0,367.5,533253.0,1955.06
2017-12-15,365.8,370.6,363.0,366.85,366.85,332997.0,1220.06
2017-12-14,370.0,372.7,358.25,361.0,362.5,488235.0,1787.15
2017-12-13,367.2,375.9,363.0,366.15,366.1,657709.0,2432.17
2017-12-12,367.0,376.0,363.15,366.0,365.95,676642.0,2496.53
2017-12-11,368.85,377.3,363.0,365.95,366.35,897718.0,3324.94
2017-12-08,364.0,383.9,360.6,363.05,367.6,1779952.0,6651.06
2017-12-07,349.7,366.7,349.65,362.75,363.3,1085098.0,3908.73
2017-12-06,357.0,363.55,347.0,349.7,350.15,1008687.0,3590.39
2017-12-05,342.8,366.95,336.0,363.45,364.0,2615572.0,9357.21
2017-12-04,354.4,355.3,340.3,345.0,344.15,527706.0,1824.4
2017-12-01,364.7,367.45,346.45,353.3,351.8,697367.0,2494.76
2017-11-30,361.95,371.5,359.15,363.0,362.05,765984.0,2793.03
2017-11-29,381.6,385.6,359.3,363.35,363.3,1111335.0,4152.03
2017-11-28,373.4,396.0,368.1,380.35,380.35,3731785.0,14378.65
2017-11-27,373.5,386.25,365.1,371.0,372.65,1661723.0,6244.21
2017-11-24,400.0,404.3,372.65,374.0,376.0,3717142.0,14358.76
2017-11-23,333.05,397.65,331.6,397.65,395.85,10292609.0,38733.5
2017-11-22,312.0,333.85,310.4,331.4,331.4,1196259.0,3891.25
2017-11-21,309.0,315.5,307.0,310.05,310.5,361610.0,1124.73
2017-11-20,309.5,310.0,306.05,307.55,307.95,163551.0,503.85
2017-11-17,309.7,313.95,305.25,307.75,307.55,310325.0,960.36
2017-11-16,308.9,311.35,302.0,305.7,306.4,296859.0,908.53
2017-11-15,313.0,316.0,302.0,305.25,306.25,267026.0,824.2
2017-11-14,317.9,322.3,311.0,312.5,312.95,334458.0,1054.39
2017-11-13,322.9,323.95,312.55,313.85,314.55,389583.0,1239.59
2017-11-10,320.0,340.0,309.0,322.3,327.1,891314.0,2877.86
2017-11-09,320.25,326.85,318.0,322.0,322.65,396173.0,1277.16
2017-11-08,319.6,324.3,312.5,319.0,318.2,311620.0,992.03
2017-11-07,335.7,338.65,316.0,318.25,318.55,654874.0,2134.35
2017-11-06,309.55,341.3,305.2,333.15,333.25,1750728.0,5793.07
2017-11-03,310.7,314.7,309.0,310.0,309.9,209340.0,651.89
2017-11-02,310.75,312.35,304.0,310.8,309.1,213589.0,659.39
2017-11-01,314.0,319.95,308.05,310.25,310.75,496130.0,1559.14
2017-10-31,314.0,317.3,308.3,313.0,312.75,472360.0,1480.37
2017-10-30,300.0,316.9,300.0,310.5,312.0,914374.0,2829.46
2017-10-27,306.0,306.1,293.1,299.0,298.85,280204.0,843.27
2017-10-26,306.5,310.3,302.0,303.3,303.3,278557.0,851.94
2017-10-25,318.0,319.0,304.1,305.6,306.5,320737.0,992.06
2017-10-24,311.2,325.0,308.5,314.65,314.6,673572.0,2133.72
2017-10-23,304.5,315.4,301.05,308.1,308.25,524812.0,1621.67
2017-10-19,307.95,309.45,302.0,303.45,303.9,84456.0,258.21
2017-10-18,309.4,312.8,306.3,307.55,307.55,241550.0,746.38
2017-10-17,310.4,315.2,307.15,308.35,308.8,467799.0,1452.15
2017-10-16,313.95,314.95,306.5,308.0,309.2,303291.0,942.47
2017-10-13,318.5,319.5,310.1,311.7,311.9,342629.0,1077.34
2017-10-12,316.3,327.0,309.25,316.7,317.1,873632.0,2783.04
2017-10-11,332.25,332.9,309.4,313.55,313.95,702970.0,2261.95
2017-10-10,330.0,337.95,321.15,328.0,329.75,1616599.0,5354.34
2017-10-09,320.0,348.0,316.75,328.1,328.25,3274267.0,10901.88
2017-10-06,283.1,310.05,283.0,310.05,310.05,1680834.0,5127.73
2017-10-05,282.65,288.0,280.8,281.85,281.9,318959.0,904.58
2017-10-04,283.8,288.15,277.55,280.55,280.7,360384.0,1018.95
